0H 0L 1H 1L 2H 2L 3H 3L 4H 4L
0.729392 0.837861 0.927020 0.734016 0.962675 0.907978 0.891366 0.847624 0.619372 0.803246

1.009535 1.192887 0.867936 1.101468 0.907665 1.096142 0.890347 0.970108 1.125668 1.229277

1.061489 0.829873 1.224482 1.161822 1.041115 0.922179 1.211239 1.195549 1.017685 0.765968

1.099181 0.978096 0.969806 1.286968 1.076770 1.084604 1.018704 1.305607 1.076770 1.065965

0.929058 0.910641 1.058433 0.716265 1.059452 1.043776 1.027872 0.827210 0.930077 0.876026

1.101219 0.988747 0.894422 1.241703 1.130761 0.907978 0.913777 1.051764 1.121593 1.039338

0.799682 1.105905 0.791533 1.008273 1.151135 1.093479 0.780327 1.120994 0.783383 1.044663

1.076770 1.091704 1.300885 1.001173 0.934151 0.917742 1.269305 0.970996 1.100200 1.109456

1.106312 1.138745 0.997311 0.905316 1.137892 0.890227 1.095107 0.927505 1.114462 1.121881

0.744672 1.026025 1.032966 0.706501 1.079826 1.062415 0.972862 0.686975 0.635671 1.034013

0.996292 0.941706 0.915815 1.209750 1.092050 1.019812 0.918871 1.143183 1.132799 0.925730

1.142986 0.934605 0.995274 1.000285 0.901553 1.051764 0.975918 1.131645 1.083901 0.939931

1.045190 0.937268 1.026853 0.932830 0.973881 0.972771 1.015648 0.879576 1.030928 0.980759

1.035003 1.044663 0.990180 1.252353 0.838393 1.081054 1.017685 1.176023 1.049265 1.073065

0.767084 0.998510 1.072695 0.626621 0.960638 0.941706 1.067602 0.840524 0.755878 0.933718

0.993236 1.160047 0.909702 1.376613 1.339595 1.239928 0.905628 1.136083 1.020741 1.170698

1.120574 0.835198 0.803757 0.830760 0.885254 0.923955 0.804776 0.994960 1.136873 0.852949

0.953507 0.865375 1.006479 0.869813 0.944338 0.986972 0.990180 0.774844 0.874048 0.879576

0.913777 0.985197 1.178640 1.065077 1.185771 1.071290 1.201052 1.053539 0.982030 0.994072

1.083901 0.984309 1.207164 1.239040 0.577605 1.181348 1.211239 1.259454 1.091032 0.883127

0.868954 0.971883 0.640765 1.006498 1.149098 0.808571 0.674382 1.051764 0.804776 1.128982

0.981012 0.961232 1.115481 0.932830 1.048246 0.850287 1.035003 0.908866 1.069639 0.891115

1.065564 1.161822 0.806813 1.073953 0.894422 1.015374 0.861823 1.043776 1.036022 1.136083

0.776252 1.099692 0.928039 0.868038 1.379325 0.805021 0.901553 0.921292 0.758934 1.036675

1.051302 0.889340 1.211239 0.860050 0.991199 1.259454 1.180678 0.806796 1.105294 1.006498

